House Number,Street,First Name,Surname,Age,Relationship to Head of House,Marital Status,Gender,Occupation,Infirmity,Religion
1,Kaur Drive,Douglas,Adams,77,Head,Widowed,Male,Retired Museum education officer,None,Christian
2,Kaur Drive,Hollie,West,79,Head,Single,Female,Retired Dealer,None,Christian
3,Kaur Drive,Joseph,Hall,55,Head,Single,Male,Fast food restaurant manager,None,Christian
4,Kaur Drive,Gregory,Cox,35,Head,Single,Male,Housing manager/officer,None,None
5,Kaur Drive,Lydia,Jones,42,Head,Single,Female,Unemployed,None,Catholic
5,Kaur Drive,Francis,Jones,3,Son,NA,Male,Child,None,NA
6,Kaur Drive,Diana,Martin,80,Head,Widowed,Female,Retired Accounting technician,None,Christian
6,Kaur Drive,Ruth,Godfrey,12,Granddaughter,NA,Female,Student,None,NA
7,Kaur Drive,Glenn,Turner,76,Head,Widowed,Male,"Retired Designer, textile",None,None
8,Kaur Drive,Suzanne,Jones,46,Head,Single,Female,"Therapist, occupational",None,None
9,Kaur Drive,Kayleigh,Dean,27,Head,Single,Female,Immunologist,None,None
9,Kaur Drive,Samantha,Sheppard-Dean,2,Daughter,NA,Female,Child,None,NA
10,Kaur Drive,Ellie,Hyde,54,Head,Widowed,Female,Occupational hygienist,None,Methodist
11,Kaur Drive,Mohammad,Wilkinson,35,Head,Single,Male,Careers adviser,None,Methodist
11,Kaur Drive,Billy,Wilkinson,3,Son,NA,Male,Child,None,NA
11,Kaur Drive,Mathew,Wilkinson,1,Son,NA,Male,Child,None,NA
12,Kaur Drive,Melanie,Stewart,70,Head,Married,Female,Retired Radio broadcast assistant,Disabled,Christian
12,Kaur Drive,Brian,Stewart,72,Husband,Married,Male,"Retired Radiographer, diagnostic",None,None
13,Kaur Drive,Sarah,Robertson,34,Head,Single,Female,Unemployed,None,Muslim
13,Kaur Drive,Shannon,Robertson,12,Daughter,NA,Female,Student,None,NA
14,Kaur Drive,Conor,Akhtar,68,Head,Single,Male,Retired Translator,None,None
15,Kaur Drive,Fiona,Walker,35,Head,Single,Female,"Scientist, clinical (histocompatibility and immunogenetics)",None,Christian
16,Kaur Drive,Kirsty,Davies,40,Head,Divorced,Female,"Psychologist, prison and probation services",None,Methodist
1,Lime Road,Adam,Hayes,37,Head,Divorced,Male,Advice worker,None,None
2,Lime Road,Hugh,Roberts,80,Head,Divorced,Male,"Retired Radiographer, therapeutic",None,Christian
3,Lime Road,Scott,Ali-Morris,48,Head,Married,Male,Hydrogeologist,None,Christian
3,Lime Road,Maureen,Ali-Morris,38,Wife,Married,Female,Research scientist (maths),None,Christian
3,Lime Road,Dylan,Ali-Morris,8,Son,NA,Male,Student,None,NA
4,Lime Road,Jonathan,Lewis,75,Head,Widowed,Male,"Retired Surveyor, insurance",None,None
5,Lime Road,Donald,Saunders,67,Head,Widowed,Male,Market researcher,None,Christian
6,Lime Road,Joel,Ahmed,89,Head,Married,Male,"Retired Nurse, learning disability",None,Christian
6,Lime Road,Claire,Ahmed,88,Wife,Married,Female,Retired Marketing executive,None,Christian
7,Lime Road,Michelle,Jones,64,Head,Divorced,Female,"Production designer, theatre/television/film",None,Christian
7,Lime Road,Stephen,Jones,0,Grandson,NA,Male,Child,None,NA
8,Lime Road,Garry,Browne,49,Head,Single,Male,Unemployed,None,None
9,Lime Road,Kimberley,Kaur,22,Head,Divorced,Female,University Student,None,None
10,Lime Road,Nicole,Davies,35,Head,Married,Female,Unemployed,None,Catholic
10,Lime Road,Hugh,Davies,37,Husband,Married,Male,"Buyer, retail",None,Catholic
10,Lime Road,Kirsty,Davies,8,Daughter,NA,Female,Student,None,NA
11,Lime Road,Dorothy,Chapman,59,Head,Single,Female,"Production designer, theatre/television/film",None,None
12,Lime Road,Amanda,Barnes,36,Head,Single,Female,Surgeon,None,Christian
13,Lime Road,Amelia,Parkin,44,Head,Single,Female,Unemployed,None,None
14,Lime Road,Sarah,Taylor,60,Head,Divorced,Female,Unemployed,None,None
14,Lime Road,Annette,Taylor,11,Granddaughter,NA,Female,Student,None,NA
15,Lime Road,Valerie,James,23,Head,Divorced,Female,Podiatrist,None,None
16,Lime Road,June,Saunders,68,Head,Widowed,Female,"Retired Surveyor, building control",None,Christian
17,Lime Road,Amanda,White,37,Head,Single,Female,Unemployed,None,None
1,Moore Crescent,Ruth,Gough,29,Head,Divorced,Female,"Surveyor, rural practice",None,None
1,Moore Crescent,Samuel,Baxter,49,Visitor,Single,Male,Colour technologist,None,None
1,Moore Crescent,Georgia,West,58,Lodger,Single,Female,"Pilot, airline",None,Christian
1,Moore Crescent,Danny,Greenwood,50,Lodger,Single,Male,Farm manager,None,None
